SEASON_1,PLAYER_ID,HOME_TEAM,SHOT_MADE,ACTION_TYPE,SHOT_TYPE,BASIC_ZONE,ZONE_NAME,ZONE_RANGE,LOC_X,LOC_Y,SHOT_DISTANCE,QUARTER,MINS_LEFT,SECS_LEFT,TIME_REMAINING
2021,201565,False,True,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.5900000000000001,6.035,6,4,7,15,435
2021,1629628,False,False,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.47,6.035,5,4,7,41,461
2021,202692,False,True,Jump Shot,3PT Field Goal,Above the Break 3,Center,24+ ft.,0.42,8.545,28,4,8,55,535
2021,1630167,False,False,Jump Shot,3PT Field Goal,Left Corner 3,Left Side,24+ ft.,-2.37,5.845,23,4,9,28,568
2021,201565,False,True,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.11,6.205,4,4,10,9,609
2021,1630193,False,False,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center,24+ ft.,1.5699999999999998,7.975,27,4,10,41,641
2021,202692,False,False,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.46,6.275,6,4,10,46,646
2021,202692,False,False,Pullup Jump shot,3PT Field Goal,Above the Break 3,Left Side Center,24+ ft.,-1.03,8.375,27,4,11,14,674
2021,201565,False,False,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.7,6.115,7,3,0,25,745
2021,203944,False,True,Running Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center,Less Than 8 ft.,0.03,6.185,4,3,0,47,767
2021,203944,False,False,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center,16-24 ft.,0.9,7.1850000000000005,16,3,1,7,787
